Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;A CORUÑA;75.0;59.7;151.0;95.8;52.8;81.7;4.8;27.4;109.2;276.8;261.3;359.1;1554.6
Precipitación;ALBACETE;4.5;8.2;122.1;93.9;16.5;1.6;4.5;21.0;23.2;22.7;27.0;72.0;417.2
Precipitación;ALICANTE/ALACANT;11.1;2.5;283.3;98.8;42.6;6.5;2.4;9.7;54.6;44.9;32.3;37.9;626.6
Precipitación;ALMERIA;9.0;8.3;183.3;73.9;40.6;1.5;0.1;5.3;6.9;6.5;8.8;47.4;391.6
Precipitación;ARABA/ALAVA;87.3;18.6;80.3;100.0;18.4;23.1;9.0;24.3;32.5;16.6;94.0;50.6;554.7
Precipitación;ASTURIAS;55.2;42.5;121.7;121.3;41.7;95.4;18.1;71.3;69.2;62.3;120.0;106.1;924.8
Precipitación;AVILA;12.1;6.2;151.9;70.9;13.0;9.1;1.3;8.7;72.3;94.3;85.9;154.9;680.6
Precipitación;BADAJOZ;3.9;5.9;88.9;54.2;4.3;2.2;0.0;1.4;35.1;43.9;46.8;170.4;457.0
Precipitación;ILLES BALEARS;14.8;2.0;66.2;41.0;35.7;1.7;0.4;27.1;73.1;60.3;95.7;40.2;458.2
Precipitación;BARCELONA;5.3;5.7;87.6;43.4;46.3;21.7;24.9;89.1;48.0;14.9;13.8;38.4;439.1
Precipitación;BIZKAIA;148.0;47.0;119.9;127.5;30.8;58.6;7.6;38.7;102.9;20.5;201.3;66.9;969.7
Precipitación;BURGOS;33.5;10.2;73.2;75.4;20.2;23.4;3.8;24.3;18.8;45.5;82.8;88.7;499.8
Precipitación;CACERES;7.1;5.8;117.1;60.6;3.3;7.6;0.2;0.9;46.6;102.5;88.5;298.0;738.2
Precipitación;CADIZ;10.3;9.0;222.0;72.5;13.1;0.2;0.0;2.0;11.0;5.4;61.9;239.1;646.5
Precipitación;CANTABRIA;105.9;35.6;132.7;127.6;19.0;56.5;13.5;64.2;90.6;38.4;129.0;82.0;895.0
Precipitación;CASTELLON/CASTELLÓ;4.5;8.9;221.8;97.9;62.6;17.1;22.5;13.0;41.4;36.2;122.6;21.5;670.0
Precipitación;CEUTA;30.4;16.0;219.3;81.8;2.2;0.1;0.0;0.2;9.0;9.2;67.3;177.6;613.1
Precipitación;CIUDAD REAL;10.7;11.7;89.0;76.3;7.8;3.3;0.2;10.0;16.0;23.0;41.4;140.2;429.6
Precipitación;CORDOBA;5.1;12.2;113.5;78.7;13.4;0.3;0.0;4.9;19.2;25.6;31.8;156.5;461.2
Precipitación;CUENCA;6.9;12.3;78.3;58.1;9.3;4.0;8.2;20.0;32.6;31.9;55.2;132.5;449.3
Precipitación;GIPUZKOA;172.3;50.1;139.6;150.3;32.1;76.2;28.9;62.5;107.8;29.5;223.8;61.7;1134.8
Precipitación;GIRONA;10.4;7.3;159.1;57.7;43.4;17.2;9.6;84.8;105.0;33.0;29.0;25.0;581.5
Precipitación;GRANADA;6.5;20.9;132.3;62.1;20.6;1.2;0.1;7.7;9.9;7.0;15.9;111.2;395.4
Precipitación;GUADALAJARA;10.6;7.4;93.8;66.9;20.6;7.3;10.5;16.2;36.1;48.7;64.4;120.0;502.5
Precipitación;HUELVA;1.8;5.0;134.8;52.7;6.0;1.4;0.0;3.3;29.2;43.6;38.2;195.0;511.0
Precipitación;HUESCA;18.5;12.2;63.1;86.1;18.9;43.3;32.0;53.7;43.9;63.9;67.0;74.0;576.6
Precipitación;JAEN;14.2;13.7;103.3;68.5;13.5;3.0;0.2;4.0;19.0;19.6;39.3;152.5;450.8
Precipitación;LA RIOJA;16.6;6.1;64.8;72.0;22.5;10.4;13.2;31.7;20.4;28.1;56.8;59.3;401.9
Precipitación;LAS PALMAS;20.1;15.5;25.6;9.9;0.7;1.2;0.8;1.0;102.4;7.5;2.0;21.6;208.3
Precipitación;LEON;17.1;14.1;79.4;58.1;25.4;44.1;9.9;30.9;49.0;119.4;93.7;142.7;683.8
Precipitación;LLEIDA;22.3;12.9;64.3;58.0;34.4;30.5;32.0;90.2;53.0;51.9;33.9;49.9;533.3
Precipitación;LUGO;46.1;37.1;98.0;71.4;41.2;84.0;11.3;42.1;54.2;157.0;172.0;218.7;1033.1
Precipitación;MADRID;12.7;10.3;120.4;64.1;10.2;3.1;6.3;5.4;44.6;46.6;60.3;129.9;513.9
Precipitación;MALAGA;10.9;8.1;269.9;66.4;17.6;0.1;0.1;3.1;7.8;5.7;23.4;181.7;594.8
Precipitación;MELILLA;3.0;5.6;69.3;113.0;4.8;0.2;3.2;0.6;2.1;5.0;9.4;43.2;259.4
Precipitación;MURCIA;9.9;3.1;212.5;88.0;36.8;4.5;0.6;11.1;28.1;25.4;15.1;18.2;453.3
Precipitación;NAVARRA;91.5;19.2;83.7;89.3;12.1;21.9;20.5;34.0;44.0;28.9;126.8;63.1;635.0
Precipitación;OURENSE;29.6;20.3;89.1;61.1;27.1;67.7;12.5;11.4;63.0;186.4;209.1;238.5;1015.8
Precipitación;PALENCIA;13.0;6.9;85.8;46.1;19.0;17.8;6.6;23.6;22.6;95.2;50.7;113.3;500.6
Precipitación;PONTEVEDRA;66.8;47.5;118.8;90.1;42.7;85.9;5.2;15.3;98.1;287.6;324.7;427.8;1610.5
Precipitación;SALAMANCA;8.1;4.3;68.6;66.9;7.2;17.3;2.9;17.0;56.3;107.0;94.2;170.1;619.9
Precipitación;SANTA CRUZ DE TENERIFE;57.4;49.0;61.4;34.8;5.3;6.9;2.5;9.0;146.5;9.9;8.0;91.6;482.3
Precipitación;SEGOVIA;19.4;6.1;93.2;56.0;11.6;14.2;6.1;9.4;25.5;41.2;95.5;111.2;489.4
Precipitación;SEVILLA;3.0;6.3;136.6;70.5;10.2;0.1;0.0;2.4;22.7;26.0;30.2;160.8;468.8
Precipitación;SORIA;7.9;5.1;81.7;60.5;19.9;10.3;8.5;27.7;21.4;29.2;77.7;93.9;443.8
Precipitación;TARRAGONA;5.8;1.8;95.2;81.8;35.4;14.8;26.0;36.5;42.1;16.2;38.0;29.3;422.9
Precipitación;TERUEL;4.4;3.7;91.8;91.7;39.2;13.8;44.4;42.4;34.9;19.6;58.6;42.7;487.2
Precipitación;TOLEDO;9.0;11.3;107.3;70.0;9.3;2.9;1.3;6.3;29.6;32.8;45.4;156.5;481.7
Precipitación;VALENCIA/VALÈNCIA;8.8;11.4;298.7;95.8;58.4;6.4;4.4;35.2;36.8;51.4;47.6;42.2;697.1
Precipitación;VALLADOLID;8.9;5.2;58.4;49.0;7.4;11.4;1.9;16.5;13.1;72.0;47.4;111.9;403.1
Precipitación;ZAMORA;4.8;4.5;56.1;46.2;18.4;24.3;4.8;22.4;36.4;106.7;66.3;155.3;546.2
Precipitación;ZARAGOZA;10.2;1.3;58.5;54.4;23.2;11.3;23.0;20.8;19.1;15.8;44.3;49.8;331.7
