región,year,month,precipitation,source_file,month_num,date,anomaly,monthly_mean
A CORUÑA,2019,enero,171.2,../data/raw\PREC_2019_Provincias.csv,1,2019-01-01,4.099999999999994,167.1
LUGO,2019,enero,160.3,../data/raw\PREC_2019_Provincias.csv,1,2019-01-01,-6.799999999999983,167.1
OURENSE,2019,enero,113.6,../data/raw\PREC_2019_Provincias.csv,1,2019-01-01,-53.5,167.1
PONTEVEDRA,2019,enero,169.0,../data/raw\PREC_2019_Provincias.csv,1,2019-01-01,1.9000000000000057,167.1
A CORUÑA,2020,enero,230.2,../data/raw\PREC_2020_Provincias.csv,1,2020-01-01,63.099999999999994,167.1
LUGO,2020,enero,117.5,../data/raw\PREC_2020_Provincias.csv,1,2020-01-01,-49.599999999999994,167.1
OURENSE,2020,enero,91.6,../data/raw\PREC_2020_Provincias.csv,1,2020-01-01,-75.5,167.1
PONTEVEDRA,2020,enero,216.3,../data/raw\PREC_2020_Provincias.csv,1,2020-01-01,49.20000000000002,167.1
A CORUÑA,2021,enero,240.5,../data/raw\PREC_2021_Provincias.csv,1,2021-01-01,73.4,167.1
LUGO,2021,enero,179.5,../data/raw\PREC_2021_Provincias.csv,1,2021-01-01,12.400000000000006,167.1
OURENSE,2021,enero,138.9,../data/raw\PREC_2021_Provincias.csv,1,2021-01-01,-28.19999999999999,167.1
PONTEVEDRA,2021,enero,255.4,../data/raw\PREC_2021_Provincias.csv,1,2021-01-01,88.30000000000001,167.1
A CORUÑA,2022,enero,75.0,../data/raw\PREC_2022_Provincias.csv,1,2022-01-01,-92.1,167.1
LUGO,2022,enero,46.1,../data/raw\PREC_2022_Provincias.csv,1,2022-01-01,-121.0,167.1
OURENSE,2022,enero,29.6,../data/raw\PREC_2022_Provincias.csv,1,2022-01-01,-137.5,167.1
PONTEVEDRA,2022,enero,66.8,../data/raw\PREC_2022_Provincias.csv,1,2022-01-01,-100.3,167.1
A CORUÑA,2023,enero,278.8,../data/raw\PREC_2023_Provincias.csv,1,2023-01-01,111.70000000000002,167.1
LUGO,2023,enero,266.5,../data/raw\PREC_2023_Provincias.csv,1,2023-01-01,99.4,167.1
OURENSE,2023,enero,204.1,../data/raw\PREC_2023_Provincias.csv,1,2023-01-01,37.0,167.1
PONTEVEDRA,2023,enero,272.8,../data/raw\PREC_2023_Provincias.csv,1,2023-01-01,105.70000000000002,167.1
A CORUÑA,2024,enero,190.1,../data/raw\PREC_2024_Provincias.csv,1,2024-01-01,23.0,167.1
LUGO,2024,enero,142.3,../data/raw\PREC_2024_Provincias.csv,1,2024-01-01,-24.799999999999983,167.1
OURENSE,2024,enero,138.6,../data/raw\PREC_2024_Provincias.csv,1,2024-01-01,-28.5,167.1
PONTEVEDRA,2024,enero,215.7,../data/raw\PREC_2024_Provincias.csv,1,2024-01-01,48.599999999999994,167.1
A CORUÑA,2019,febrero,72.0,../data/raw\PREC_2019_Provincias.csv,2,2019-02-01,-39.75416666666666,111.75416666666666
LUGO,2019,febrero,53.2,../data/raw\PREC_2019_Provincias.csv,2,2019-02-01,-58.55416666666666,111.75416666666666
OURENSE,2019,febrero,38.7,../data/raw\PREC_2019_Provincias.csv,2,2019-02-01,-73.05416666666666,111.75416666666666
PONTEVEDRA,2019,febrero,60.7,../data/raw\PREC_2019_Provincias.csv,2,2019-02-01,-51.05416666666666,111.75416666666666
A CORUÑA,2020,febrero,94.0,../data/raw\PREC_2020_Provincias.csv,2,2020-02-01,-17.754166666666663,111.75416666666666
LUGO,2020,febrero,51.8,../data/raw\PREC_2020_Provincias.csv,2,2020-02-01,-59.954166666666666,111.75416666666666
OURENSE,2020,febrero,31.0,../data/raw\PREC_2020_Provincias.csv,2,2020-02-01,-80.75416666666666,111.75416666666666
PONTEVEDRA,2020,febrero,102.3,../data/raw\PREC_2020_Provincias.csv,2,2020-02-01,-9.454166666666666,111.75416666666666
A CORUÑA,2021,febrero,293.4,../data/raw\PREC_2021_Provincias.csv,2,2021-02-01,181.64583333333331,111.75416666666666
LUGO,2021,febrero,221.7,../data/raw\PREC_2021_Provincias.csv,2,2021-02-01,109.94583333333333,111.75416666666666
OURENSE,2021,febrero,234.4,../data/raw\PREC_2021_Provincias.csv,2,2021-02-01,122.64583333333334,111.75416666666666
PONTEVEDRA,2021,febrero,335.7,../data/raw\PREC_2021_Provincias.csv,2,2021-02-01,223.94583333333333,111.75416666666666
A CORUÑA,2022,febrero,59.7,../data/raw\PREC_2022_Provincias.csv,2,2022-02-01,-52.05416666666666,111.75416666666666
LUGO,2022,febrero,37.1,../data/raw\PREC_2022_Provincias.csv,2,2022-02-01,-74.65416666666667,111.75416666666666
OURENSE,2022,febrero,20.3,../data/raw\PREC_2022_Provincias.csv,2,2022-02-01,-91.45416666666667,111.75416666666666
PONTEVEDRA,2022,febrero,47.5,../data/raw\PREC_2022_Provincias.csv,2,2022-02-01,-64.25416666666666,111.75416666666666
A CORUÑA,2023,febrero,32.3,../data/raw\PREC_2023_Provincias.csv,2,2023-02-01,-79.45416666666667,111.75416666666666
LUGO,2023,febrero,36.6,../data/raw\PREC_2023_Provincias.csv,2,2023-02-01,-75.15416666666667,111.75416666666666
OURENSE,2023,febrero,18.5,../data/raw\PREC_2023_Provincias.csv,2,2023-02-01,-93.25416666666666,111.75416666666666
PONTEVEDRA,2023,febrero,13.5,../data/raw\PREC_2023_Provincias.csv,2,2023-02-01,-98.25416666666666,111.75416666666666
A CORUÑA,2024,febrero,243.8,../data/raw\PREC_2024_Provincias.csv,2,2024-02-01,132.04583333333335,111.75416666666666
LUGO,2024,febrero,172.4,../data/raw\PREC_2024_Provincias.csv,2,2024-02-01,60.64583333333334,111.75416666666666
OURENSE,2024,febrero,143.1,../data/raw\PREC_2024_Provincias.csv,2,2024-02-01,31.34583333333333,111.75416666666666
PONTEVEDRA,2024,febrero,268.4,../data/raw\PREC_2024_Provincias.csv,2,2024-02-01,156.64583333333331,111.75416666666666
A CORUÑA,2019,marzo,96.1,../data/raw\PREC_2019_Provincias.csv,3,2019-03-01,-25.51666666666668,121.61666666666667
LUGO,2019,marzo,76.8,../data/raw\PREC_2019_Provincias.csv,3,2019-03-01,-44.81666666666668,121.61666666666667
OURENSE,2019,marzo,69.6,../data/raw\PREC_2019_Provincias.csv,3,2019-03-01,-52.01666666666668,121.61666666666667
PONTEVEDRA,2019,marzo,120.5,../data/raw\PREC_2019_Provincias.csv,3,2019-03-01,-1.1166666666666742,121.61666666666667
A CORUÑA,2020,marzo,147.5,../data/raw\PREC_2020_Provincias.csv,3,2020-03-01,25.883333333333326,121.61666666666667
LUGO,2020,marzo,132.8,../data/raw\PREC_2020_Provincias.csv,3,2020-03-01,11.183333333333337,121.61666666666667
OURENSE,2020,marzo,118.7,../data/raw\PREC_2020_Provincias.csv,3,2020-03-01,-2.9166666666666714,121.61666666666667
PONTEVEDRA,2020,marzo,157.0,../data/raw\PREC_2020_Provincias.csv,3,2020-03-01,35.383333333333326,121.61666666666667
A CORUÑA,2021,marzo,31.0,../data/raw\PREC_2021_Provincias.csv,3,2021-03-01,-90.61666666666667,121.61666666666667
LUGO,2021,marzo,26.6,../data/raw\PREC_2021_Provincias.csv,3,2021-03-01,-95.01666666666668,121.61666666666667
OURENSE,2021,marzo,10.9,../data/raw\PREC_2021_Provincias.csv,3,2021-03-01,-110.71666666666667,121.61666666666667
PONTEVEDRA,2021,marzo,22.3,../data/raw\PREC_2021_Provincias.csv,3,2021-03-01,-99.31666666666668,121.61666666666667
A CORUÑA,2022,marzo,151.0,../data/raw\PREC_2022_Provincias.csv,3,2022-03-01,29.383333333333326,121.61666666666667
LUGO,2022,marzo,98.0,../data/raw\PREC_2022_Provincias.csv,3,2022-03-01,-23.616666666666674,121.61666666666667
OURENSE,2022,marzo,89.1,../data/raw\PREC_2022_Provincias.csv,3,2022-03-01,-32.51666666666668,121.61666666666667
PONTEVEDRA,2022,marzo,118.8,../data/raw\PREC_2022_Provincias.csv,3,2022-03-01,-2.816666666666677,121.61666666666667
A CORUÑA,2023,marzo,152.5,../data/raw\PREC_2023_Provincias.csv,3,2023-03-01,30.883333333333326,121.61666666666667
LUGO,2023,marzo,74.8,../data/raw\PREC_2023_Provincias.csv,3,2023-03-01,-46.81666666666668,121.61666666666667
OURENSE,2023,marzo,86.7,../data/raw\PREC_2023_Provincias.csv,3,2023-03-01,-34.91666666666667,121.61666666666667
PONTEVEDRA,2023,marzo,162.5,../data/raw\PREC_2023_Provincias.csv,3,2023-03-01,40.883333333333326,121.61666666666667
A CORUÑA,2024,marzo,250.9,../data/raw\PREC_2024_Provincias.csv,3,2024-03-01,129.28333333333333,121.61666666666667
LUGO,2024,marzo,188.3,../data/raw\PREC_2024_Provincias.csv,3,2024-03-01,66.68333333333334,121.61666666666667
OURENSE,2024,marzo,226.4,../data/raw\PREC_2024_Provincias.csv,3,2024-03-01,104.78333333333333,121.61666666666667
PONTEVEDRA,2024,marzo,310.0,../data/raw\PREC_2024_Provincias.csv,3,2024-03-01,188.38333333333333,121.61666666666667
A CORUÑA,2019,abril,173.7,../data/raw\PREC_2019_Provincias.csv,4,2019-04-01,62.420833333333334,111.27916666666665
LUGO,2019,abril,148.6,../data/raw\PREC_2019_Provincias.csv,4,2019-04-01,37.32083333333334,111.27916666666665
OURENSE,2019,abril,177.8,../data/raw\PREC_2019_Provincias.csv,4,2019-04-01,66.52083333333336,111.27916666666665
PONTEVEDRA,2019,abril,227.2,../data/raw\PREC_2019_Provincias.csv,4,2019-04-01,115.92083333333333,111.27916666666665
A CORUÑA,2020,abril,155.2,../data/raw\PREC_2020_Provincias.csv,4,2020-04-01,43.920833333333334,111.27916666666665
LUGO,2020,abril,93.0,../data/raw\PREC_2020_Provincias.csv,4,2020-04-01,-18.279166666666654,111.27916666666665
OURENSE,2020,abril,116.1,../data/raw\PREC_2020_Provincias.csv,4,2020-04-01,4.82083333333334,111.27916666666665
PONTEVEDRA,2020,abril,191.3,../data/raw\PREC_2020_Provincias.csv,4,2020-04-01,80.02083333333336,111.27916666666665
A CORUÑA,2021,abril,80.6,../data/raw\PREC_2021_Provincias.csv,4,2021-04-01,-30.67916666666666,111.27916666666665
LUGO,2021,abril,79.5,../data/raw\PREC_2021_Provincias.csv,4,2021-04-01,-31.779166666666654,111.27916666666665
OURENSE,2021,abril,98.8,../data/raw\PREC_2021_Provincias.csv,4,2021-04-01,-12.479166666666657,111.27916666666665
PONTEVEDRA,2021,abril,128.4,../data/raw\PREC_2021_Provincias.csv,4,2021-04-01,17.12083333333335,111.27916666666665
A CORUÑA,2022,abril,95.8,../data/raw\PREC_2022_Provincias.csv,4,2022-04-01,-15.479166666666657,111.27916666666665
LUGO,2022,abril,71.4,../data/raw\PREC_2022_Provincias.csv,4,2022-04-01,-39.87916666666665,111.27916666666665
OURENSE,2022,abril,61.1,../data/raw\PREC_2022_Provincias.csv,4,2022-04-01,-50.17916666666665,111.27916666666665
PONTEVEDRA,2022,abril,90.1,../data/raw\PREC_2022_Provincias.csv,4,2022-04-01,-21.17916666666666,111.27916666666665
A CORUÑA,2023,abril,90.5,../data/raw\PREC_2023_Provincias.csv,4,2023-04-01,-20.779166666666654,111.27916666666665
LUGO,2023,abril,53.7,../data/raw\PREC_2023_Provincias.csv,4,2023-04-01,-57.57916666666665,111.27916666666665
OURENSE,2023,abril,35.0,../data/raw\PREC_2023_Provincias.csv,4,2023-04-01,-76.27916666666665,111.27916666666665
PONTEVEDRA,2023,abril,80.0,../data/raw\PREC_2023_Provincias.csv,4,2023-04-01,-31.279166666666654,111.27916666666665
A CORUÑA,2024,abril,143.4,../data/raw\PREC_2024_Provincias.csv,4,2024-04-01,32.12083333333335,111.27916666666665
LUGO,2024,abril,88.1,../data/raw\PREC_2024_Provincias.csv,4,2024-04-01,-23.17916666666666,111.27916666666665
OURENSE,2024,abril,70.6,../data/raw\PREC_2024_Provincias.csv,4,2024-04-01,-40.67916666666666,111.27916666666665
PONTEVEDRA,2024,abril,120.8,../data/raw\PREC_2024_Provincias.csv,4,2024-04-01,9.520833333333343,111.27916666666665
A CORUÑA,2019,mayo,52.9,../data/raw\PREC_2019_Provincias.csv,5,2019-05-01,-23.883333333333333,76.78333333333333
LUGO,2019,mayo,41.6,../data/raw\PREC_2019_Provincias.csv,5,2019-05-01,-35.18333333333333,76.78333333333333
OURENSE,2019,mayo,22.1,../data/raw\PREC_2019_Provincias.csv,5,2019-05-01,-54.68333333333333,76.78333333333333
PONTEVEDRA,2019,mayo,44.2,../data/raw\PREC_2019_Provincias.csv,5,2019-05-01,-32.58333333333333,76.78333333333333
A CORUÑA,2020,mayo,45.7,../data/raw\PREC_2020_Provincias.csv,5,2020-05-01,-31.08333333333333,76.78333333333333
LUGO,2020,mayo,40.4,../data/raw\PREC_2020_Provincias.csv,5,2020-05-01,-36.38333333333333,76.78333333333333
OURENSE,2020,mayo,47.4,../data/raw\PREC_2020_Provincias.csv,5,2020-05-01,-29.383333333333333,76.78333333333333
PONTEVEDRA,2020,mayo,58.4,../data/raw\PREC_2020_Provincias.csv,5,2020-05-01,-18.383333333333333,76.78333333333333
A CORUÑA,2021,mayo,149.5,../data/raw\PREC_2021_Provincias.csv,5,2021-05-01,72.71666666666667,76.78333333333333
LUGO,2021,mayo,78.4,../data/raw\PREC_2021_Provincias.csv,5,2021-05-01,1.6166666666666742,76.78333333333333
OURENSE,2021,mayo,65.0,../data/raw\PREC_2021_Provincias.csv,5,2021-05-01,-11.783333333333331,76.78333333333333
PONTEVEDRA,2021,mayo,144.5,../data/raw\PREC_2021_Provincias.csv,5,2021-05-01,67.71666666666667,76.78333333333333
A CORUÑA,2022,mayo,52.8,../data/raw\PREC_2022_Provincias.csv,5,2022-05-01,-23.983333333333334,76.78333333333333
LUGO,2022,mayo,41.2,../data/raw\PREC_2022_Provincias.csv,5,2022-05-01,-35.58333333333333,76.78333333333333
OURENSE,2022,mayo,27.1,../data/raw\PREC_2022_Provincias.csv,5,2022-05-01,-49.68333333333333,76.78333333333333
PONTEVEDRA,2022,mayo,42.7,../data/raw\PREC_2022_Provincias.csv,5,2022-05-01,-34.08333333333333,76.78333333333333
A CORUÑA,2023,mayo,47.9,../data/raw\PREC_2023_Provincias.csv,5,2023-05-01,-28.883333333333333,76.78333333333333
LUGO,2023,mayo,46.8,../data/raw\PREC_2023_Provincias.csv,5,2023-05-01,-29.983333333333334,76.78333333333333
OURENSE,2023,mayo,79.0,../data/raw\PREC_2023_Provincias.csv,5,2023-05-01,2.2166666666666686,76.78333333333333
PONTEVEDRA,2023,mayo,67.5,../data/raw\PREC_2023_Provincias.csv,5,2023-05-01,-9.283333333333331,76.78333333333333
A CORUÑA,2024,mayo,205.1,../data/raw\PREC_2024_Provincias.csv,5,2024-05-01,128.31666666666666,76.78333333333333
LUGO,2024,mayo,132.2,../data/raw\PREC_2024_Provincias.csv,5,2024-05-01,55.41666666666666,76.78333333333333
OURENSE,2024,mayo,117.0,../data/raw\PREC_2024_Provincias.csv,5,2024-05-01,40.21666666666667,76.78333333333333
PONTEVEDRA,2024,mayo,193.4,../data/raw\PREC_2024_Provincias.csv,5,2024-05-01,116.61666666666667,76.78333333333333
A CORUÑA,2019,junio,78.2,../data/raw\PREC_2019_Provincias.csv,6,2019-06-01,3.0916666666666686,75.10833333333333
LUGO,2019,junio,58.1,../data/raw\PREC_2019_Provincias.csv,6,2019-06-01,-17.008333333333333,75.10833333333333
OURENSE,2019,junio,51.6,../data/raw\PREC_2019_Provincias.csv,6,2019-06-01,-23.508333333333333,75.10833333333333
PONTEVEDRA,2019,junio,54.1,../data/raw\PREC_2019_Provincias.csv,6,2019-06-01,-21.008333333333333,75.10833333333333
A CORUÑA,2020,junio,64.9,../data/raw\PREC_2020_Provincias.csv,6,2020-06-01,-10.208333333333329,75.10833333333333
LUGO,2020,junio,45.5,../data/raw\PREC_2020_Provincias.csv,6,2020-06-01,-29.608333333333334,75.10833333333333
OURENSE,2020,junio,30.9,../data/raw\PREC_2020_Provincias.csv,6,2020-06-01,-44.208333333333336,75.10833333333333
PONTEVEDRA,2020,junio,42.7,../data/raw\PREC_2020_Provincias.csv,6,2020-06-01,-32.40833333333333,75.10833333333333
A CORUÑA,2021,junio,108.9,../data/raw\PREC_2021_Provincias.csv,6,2021-06-01,33.79166666666667,75.10833333333333
LUGO,2021,junio,101.7,../data/raw\PREC_2021_Provincias.csv,6,2021-06-01,26.59166666666667,75.10833333333333
OURENSE,2021,junio,86.1,../data/raw\PREC_2021_Provincias.csv,6,2021-06-01,10.99166666666666,75.10833333333333
PONTEVEDRA,2021,junio,80.7,../data/raw\PREC_2021_Provincias.csv,6,2021-06-01,5.591666666666669,75.10833333333333
A CORUÑA,2022,junio,81.7,../data/raw\PREC_2022_Provincias.csv,6,2022-06-01,6.591666666666669,75.10833333333333
LUGO,2022,junio,84.0,../data/raw\PREC_2022_Provincias.csv,6,2022-06-01,8.891666666666666,75.10833333333333
OURENSE,2022,junio,67.7,../data/raw\PREC_2022_Provincias.csv,6,2022-06-01,-7.408333333333331,75.10833333333333
PONTEVEDRA,2022,junio,85.9,../data/raw\PREC_2022_Provincias.csv,6,2022-06-01,10.791666666666671,75.10833333333333
A CORUÑA,2023,junio,105.2,../data/raw\PREC_2023_Provincias.csv,6,2023-06-01,30.09166666666667,75.10833333333333
LUGO,2023,junio,101.7,../data/raw\PREC_2023_Provincias.csv,6,2023-06-01,26.59166666666667,75.10833333333333
OURENSE,2023,junio,118.3,../data/raw\PREC_2023_Provincias.csv,6,2023-06-01,43.19166666666666,75.10833333333333
PONTEVEDRA,2023,junio,120.5,../data/raw\PREC_2023_Provincias.csv,6,2023-06-01,45.391666666666666,75.10833333333333
A CORUÑA,2024,junio,61.2,../data/raw\PREC_2024_Provincias.csv,6,2024-06-01,-13.908333333333331,75.10833333333333
LUGO,2024,junio,54.8,../data/raw\PREC_2024_Provincias.csv,6,2024-06-01,-20.308333333333337,75.10833333333333
OURENSE,2024,junio,57.0,../data/raw\PREC_2024_Provincias.csv,6,2024-06-01,-18.108333333333334,75.10833333333333
PONTEVEDRA,2024,junio,61.2,../data/raw\PREC_2024_Provincias.csv,6,2024-06-01,-13.908333333333331,75.10833333333333
A CORUÑA,2019,julio,19.6,../data/raw\PREC_2019_Provincias.csv,7,2019-07-01,-1.095833333333335,20.695833333333336
LUGO,2019,julio,38.5,../data/raw\PREC_2019_Provincias.csv,7,2019-07-01,17.804166666666664,20.695833333333336
